epoch,loss,val_loss
0,6.81440255349e+20,56630850.6719
1,46257737.4433,31909445.6322
2,16325594.8186,1587145.66408
3,822855.779273,238932.24187
4,107465.816575,15631.2796751
5,12051.0790229,3517.57228083
6,3731.30684935,2299.5327464
7,2807.16328896,2554.1967765
8,3164.53095112,2335.28131768
9,2116.21968912,1832.64539654
10,115822.24321,1814.99714855
11,30310.1444419,2051.3081655
12,1919.51989713,1827.93503445
13,1932.2413031,1655.03663083
14,7877.08227664,1567.23014756
15,1718.72011081,1421.6755598
16,1831.59719072,1610.644048
17,5360.26216166,2917.18305913
18,2031.03277244,1451.54203099
19,2598.89538403,1846.86549974
20,1593.87831409,1294.98993228
21,18781.1890916,1422.66213409
22,1501.08878475,2111.32850334
23,1343.03387022,2424.01469148
24,2094.38284686,1101.42177457
25,1316.88093686,1923.83267202
26,1711.16639774,1040.84792569
27,1424.79053969,1328.62400937
28,1648.11704986,4527022.12687
29,50579.5000702,3579.09412148
30,1353.76632501,1054.45779505
31,1193.79838834,941.418345508
32,1855.6112444,3333.15974143
33,1363.74417667,1133.29640216
34,1560.44873185,2250.23795691
35,1168.19575932,873.142187097
36,122136.465625,855.236945914
37,10521.3576363,26545.1786184
38,2163.69900748,1044.35755126
39,1127.93423359,905.32315614
