epoch,loss,val_loss
0,1.84420666945e+20,5464.72810249
1,4929.48633758,3675.2954556
2,3461.43726907,2867.69018074
3,2571.93640287,2063.95196212
4,2250.64671257,1941.46534578
5,2348.65074289,7410.97475701
6,2199857.25329,1918.73685756
7,2039.89782238,1747.65833746
8,1769.28741033,1412.40833776
9,1699.96527433,1950.62884511
10,3833.14819655,2576.5513024
11,1504.24722792,1229.05022198
12,1498.5876872,1518.44317834
13,5759.38955583,1157.23679659
14,4974.70618747,1273.58404428
15,1326.04894197,1204.51303078
16,2964.77965298,1239.53522014
17,1300.83581762,1348.68323218
18,1338.24140827,1192.89252077
19,1397.38218937,976.021494153
20,1967.99412323,1034.66840244
21,1181.29548786,1334.96429991
22,10140.5038857,1047.69278553
23,1359.88952566,962.922100089
24,1212.4975687,889.726725806
25,6902.07602919,954.458649606
26,2409.45337791,1232.63294312
27,1085.47538422,1129.1417196
28,1169.18285978,1913.65106289
29,1219.73572361,6180.30863297
30,1278.95367295,1353.48103378
31,5940.79791735,1089.69876888
32,1126.12794928,827.438099802
33,15273.8658191,1511.77589414
34,1809.2415442,744.981393274
35,1088.28129069,1174.00329738
36,1063.19793396,3561.21430325
37,489679.672905,1474.29205067
38,1000.149997,1531916.96315
39,75021.7060032,1385.33206643
